,alpha,beta,K,M,accuracy
0,2,2,10,10,0.006510992140334891
1,2,2,10,20,0.006595284200934047
2,2,2,10,30,0.006575919808634241
3,2,2,10,40,0.006603257774233967
4,2,2,10,50,0.006578197972434217
5,2,2,10,60,0.006595284200934047
6,2,2,10,70,0.0059334776170406655
7,2,2,10,80,0.005923225879940768
8,2,2,20,10,0.004567718418954323
9,2,2,20,20,0.004584804647454152
10,2,2,20,30,0.003681512700763185
11,2,2,20,40,0.004608725367353912
12,2,2,20,50,0.0046030299578539696
13,2,2,20,60,0.003683790864563162
14,2,2,20,70,0.003696320765463037
15,2,2,20,80,0.003696320765463037
16,2,2,30,10,0.0028294794395717056
17,2,2,30,20,0.002851121995671489
18,2,2,30,30,0.0032019592208679805
19,2,2,30,40,0.0028670691422713296
20,2,2,30,50,0.00285795648707142
21,2,2,30,60,0.0028590955689714093
22,2,2,30,70,0.002871625469871284
23,2,2,30,80,0.0028693473060713067
24,2,2,40,10,0.0028089759653719105
25,2,2,40,20,0.0031119717507688805
26,2,2,40,30,0.00315297869916847
27,2,2,40,40,0.0031358924706686407
28,2,2,40,50,0.00313703155256863
29,2,2,40,60,0.0031461442077685385
30,2,2,40,70,0.0031427269620685726
31,2,2,40,80,0.0031415878801685842
32,2,2,50,10,0.005129285795648707
33,2,2,50,20,0.005510878232144891
34,2,2,50,30,0.005550746098644492
35,2,2,50,40,0.005531381706344686
36,2,2,50,50,0.005541633443444584
37,2,2,50,60,0.005548467934844516
38,2,2,50,70,0.005549607016744504
39,2,2,50,80,0.005549607016744504
40,2,2,60,10,0.005247750313247522
41,2,2,60,20,0.005570110490944299
42,2,2,60,30,0.005588335801344117
43,2,2,60,40,0.005591753047044083
44,2,2,60,50,0.005596309374644037
45,2,2,60,60,0.005605422029843946
46,2,2,60,70,0.005592892128944071
47,2,2,60,80,0.005591753047044083
48,2,2,70,10,0.005046132816949539
49,2,2,70,20,0.0054300034172457
50,2,2,70,30,0.005451645973345484
51,2,2,70,40,0.0054539241371454605
52,2,2,70,50,0.005450506891445495
53,2,2,70,60,0.005458480464745416
54,2,2,70,70,0.005464175874245358
55,2,2,70,80,0.0054653149561453476
56,2,2,80,10,0.005310399817746896
57,2,2,80,20,0.005459619546645403
58,2,2,80,30,0.005477844857045222
59,2,2,80,40,0.005480123020845199
60,2,2,80,50,0.005488096594145119
61,2,2,80,60,0.005486957512245131
62,2,2,80,70,0.005467593119945324
63,2,2,80,80,0.005468732201845312
64,2,3,10,10,0.00661806583893382
65,2,3,10,20,0.00595398109124046
66,2,3,10,30,0.005944868436040552
67,2,3,10,40,0.005939173026540608
68,2,3,10,50,0.005958537418840415
69,2,3,10,60,0.006619204920833808
70,2,3,10,70,0.005967650074040324
71,2,3,10,80,0.005967650074040324
72,2,3,20,10,0.004967536165850325
73,2,3,20,20,0.004968675247750313
74,2,3,20,30,0.004049436154459506
75,2,3,20,40,0.00405399248205946
76,2,3,20,50,0.0040585488096594145
77,2,3,20,60,0.004060826973459391
78,2,3,20,70,0.0040619660553593805
79,2,3,20,80,0.0040619660553593805
80,2,3,30,10,0.0032167672855678326
81,2,3,30,20,0.0032065155484679348
82,2,3,30,30,0.003214489121767855
83,2,3,30,40,0.0032190454493678093
84,2,3,30,50,0.003220184531267798
85,2,3,30,60,0.003221323613167787
86,2,3,30,70,0.003221323613167787
