,ws,gamma,c,accuracy
0,30,scale,0.1,0.7646313120642299
1,30,auto,0.1,0.7631523346714557
2,30,0.1,0.1,0.7854074230579619
3,30,1,0.1,0.8451299387280794
4,30,5,0.1,0.8390027466723009
5,30,10,0.1,0.7838580181702937
6,30,scale,0.5,0.8078737939291499
7,30,auto,0.5,0.8057609690823297
8,30,0.1,0.5,0.8239312627649834
9,30,1,0.5,0.8657651947320234
10,30,5,0.5,0.8519614057327981
11,30,10,0.5,0.8466793436157476
12,30,scale,1.0,0.8200577505458131
13,30,auto,1.0,0.819423903091767
14,30,0.1,1.0,0.8329459821114163
15,30,1,1.0,0.8689344320022537
16,30,5,1.0,0.8577364603141067
17,30,10,1.0,0.8491443059370378
18,30,scale,1.5,0.8263257975913797
19,30,auto,1.5,0.8249172476934995
20,30,0.1,1.5,0.8387210366927248
21,30,1,1.5,0.8694274244665118
22,30,5,1.5,0.861187407563913
23,30,10,1.5,0.8471723360800056
24,30,scale,2.0,0.83019930981055
25,30,auto,2.0,0.8288611874075639
26,30,0.1,2.0,0.8430171138812592
27,30,1,2.0,0.8687935770124656
28,30,5,2.0,0.8594267201915627
29,30,10,2.0,0.8449186562433975
30,30,scale,3.0,0.8339319670399324
31,30,auto,3.0,0.8333685470807803
32,30,0.1,3.0,0.8473131910697936
33,30,1,3.0,0.8690048594971477
34,30,5,3.0,0.8565391929009085
35,30,10,3.0,0.840763434044651
36,30,scale,4.0,0.8380167617437848
37,30,auto,4.0,0.8364673568561166
38,30,0.1,4.0,0.851257130783858
39,30,1,4.0,0.8692161419818297
40,30,5,4.0,0.8541446580745123
41,30,10,4.0,0.8383688992182549
42,30,scale,5.0,0.8412564265089091
43,30,auto,5.0,0.8402000140854989
44,30,0.1,5.0,0.8527361081766321
45,30,1,5.0,0.8689344320022537
46,30,5,5.0,0.8532291006408902
47,30,10,5.0,0.8364673568561166
48,30,scale,6.0,0.8440030988097753
49,30,auto,6.0,0.8428058313965773
50,30,0.1,6.0,0.8535108106204662
51,30,1,6.0,0.8690752869920417
52,30,5,6.0,0.8514684132685401
53,30,10,6.0,0.8348475244735545
54,50,scale,0.1,0.7850938967136151
55,50,auto,0.1,0.7846244131455399
56,50,0.1,0.1,0.7843896713615024
57,50,1,0.1,0.8357981220657277
58,50,5,0.1,0.8428403755868544
59,50,10,0.1,0.7826291079812207
60,50,scale,0.5,0.7845070422535211
61,50,auto,0.5,0.7846244131455399
62,50,0.1,0.5,0.7948356807511737
63,50,1,0.5,0.8394366197183099
64,50,5,0.5,0.8564553990610329
65,50,10,0.5,0.839319248826291
66,50,scale,1.0,0.7924882629107981
67,50,auto,1.0,0.7914319248826291
68,50,0.1,1.0,0.8002347417840375
69,50,1,1.0,0.840962441314554
70,50,5,1.0,0.8602112676056338
71,50,10,1.0,0.8457746478873239
72,50,scale,1.5,0.7948356807511737
73,50,auto,1.5,0.7943661971830986
74,50,0.1,1.5,0.8035211267605634
75,50,1,1.5,0.8453051643192488
76,50,5,1.5,0.8620892018779343
77,50,10,1.5,0.8458920187793427
78,50,scale,2.0,0.797300469483568
79,50,auto,2.0,0.7964788732394367
80,50,0.1,2.0,0.8042253521126761
81,50,1,2.0,0.8477699530516432
82,50,5,2.0,0.8640845070422535
83,50,10,2.0,0.8457746478873239
